name,brand,sku,category_hierarchy,url,price,unit_pack_size,availability,description,specifications,image_urls,alternative_products
N-Tralig,Safco Dental,AEHNA,Anesthetic Syringes,https://www.safcodental.com/product/n-tralig-reg,$19.49,,In Stock,"Intraligamental syringe dispenses exactly 0.2cc of anesthetic from any standard cartridge. The slow infiltration of anesthetic prevents dislodging the tooth and helps to numb that specific tooth. Made entirely of German stainless steel for long life. Accepts standard 30 ga. needles. Autoclavable.
&nbsp;",{},"https://www.safcodental.com/media/catalog/product/a/e/aehna.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
GripRite Aspirating Syringe,Safco Dental,AECGO,Anesthetic Syringes,https://www.safcodental.com/product/p-griprite-aspirating-syringe-p,$60.49,,In Stock,"The Miltex Grip Rite aspirating syringes come with silicone covered handles and wings that offers a comfortable grip on syringe.
Features &amp;&nbsp;Benefits:

Silicone covered handles and wings &ndash; Comfortable grip on syringe
Petite style shortened harpoon rod facilitates aspiration for smaller hands
Ability to color code

&nbsp;",{},"https://www.safcodental.com/media/catalog/product/a/e/aecgo.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Aspirating syringes - Vista,Safco Dental,AECAD,Anesthetic Syringes,https://www.safcodental.com/product/aspirating-syringes-vista,$28.49,,In Stock,Chrome construction. Autoclavable.,{},"https://www.safcodental.com/media/catalog/product/a/e/aecad.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Aspirating and self-aspirating syringes - Integra Miltex,Safco Dental,AECAC,Anesthetic Syringes,https://www.safcodental.com/product/aspirating-and-self-aspirating-syringes-integra-miltex,$46.49,,In Stock,The Cook-Waite type petite and Cook-Waite type self-aspirating syringes are made in Germany. The Astra type and Cook-Waite type (not petite) aspirating syringes are made in China.,{},"https://www.safcodental.com/media/catalog/product/a/e/aecac.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
DycloPro,Safco Dental,AEDBA,Topical Anesthetics,https://www.safcodental.com/product/dyclopro,$45.49,,In Stock,"Dyclonine hydrochloride topical solution, USP 0.5%.
Topical anesthetic indicated for anesthetizing accessible mucous membranes prior to various endoscopic procedures, and may also be used to block the gag reflex and to relieve the pain of oral ulcers or stomatitis.
Features &amp; benefits:

2 &ndash; 10 minute onset with approximately 30 minutes duration.
Multiple doses in each jar.
",{},"https://www.safcodental.com/media/catalog/product/a/e/aedba.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Topex topical metered spray,Safco Dental,AEDAN,Topical Anesthetics,https://www.safcodental.com/product/topex-reg-topical-metered-spray,$52.99,,In Stock,"Metered spray valve delivers approximately 50mg of anesthetic, with no chance of overspray. More than 1,000 sprays per can. Great for gaggers, deep scaling, and x-rays. 20% benzocaine.",{},"https://www.safcodental.com/media/catalog/product/a/e/aedan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Topicale Gel Pump,Safco Dental,AEDAH,Topical Anesthetics,https://www.safcodental.com/product/topicale-sup-reg-sup-gel-pump,$18.99,,In Stock,Each pump bottle contains 43g (1.5 oz.) &ndash; 50% more product than a 1 oz. jar. Convenient pump dispenser reduces the potential for cross-contamination. Active ingredient 18% benzocaine.,{},"https://www.safcodental.com/media/catalog/product/a/e/aedah.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
LolliCaine,Safco Dental,AEDAT,Topical Anesthetics,https://www.safcodental.com/product/lollicaine-reg,$71.79,,In Stock,"20% benzocaine gel in a convenient single-use LolliPack&reg; package. The disposable packaging reduces cross-contamination and eliminates the need for cleaning up or wiping down bulky jars. Each pack contains a single dose plus one swab applicator. Great ""take-home"" pack to treat patients post-operatively.
Our unique LolliPack packaging reduces cross-contamination and eliminates over-dosing waste. Eliminate unused gel - place LolliCaine on every tray and if not used, it can get wiped clean and go back into inventory.",{},"https://www.safcodental.com/media/catalog/product/a/e/aedat.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
"Lidocaine Ointment USP, 5% (jars)",Safco Dental,AEDAS,Topical Anesthetics,https://www.safcodental.com/product/lidocaine-ointment-usp-5-jars,$36.99,,In Stock,"Lidocaine ointment USP 5%, amide-based topical anesthetic designed to improve patient comfort before anesthetic injection and during the dental procedure. Pleasant mint flavor.",{},"https://www.safcodental.com/media/catalog/product/a/e/aedas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Cetacaine,Safco Dental,AEDAA,Topical Anesthetics,https://www.safcodental.com/product/cetacaine-reg,$81.99,,In Stock,"Triple-active formula is well-suited for scaling and root planing, or pre-injection. Pleasant taste.
Active ingredients:
14% benzocaine
2% butamben (butyl aminobenzoate)
2% tetracaine hydrochloride
Liquid:&nbsp;Unique dispenser cap allows accurate filling of Luer-lock syringes, and for the single dip insertion of a Microbrush. Banana flavor.
Gel:&nbsp;Conveniently dispensed by fingertip pressure on the pump-top jar.Spray:&nbsp;Delivers precise, controlled spray directly to the required site. Suppresses the gag reflex. Tropical flavor.",{},"https://www.safcodental.com/media/catalog/product/a/e/aedaa.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Oraqix,Safco Dental,AEDAQ,Topical Anesthetics,https://www.safcodental.com/product/oraqix-reg,$49.99,,In Stock,"Lidocaine and prilocaine periodontal gel, 2.5%/2.5%. Autoclavable dispenser (sold separately) is required for application.
Oraqix can put patients at ease eliminating the needle. In as little as 30 seconds, provides sufficient anesthesia for most SRP patients, so dentists and dental hygienists can perform the procedure fast and effectively.",{},"https://www.safcodental.com/media/catalog/product/a/e/aedaq.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
GINGICaine,Safco Dental,AEDAC,Topical Anesthetics,https://www.safcodental.com/product/gingicaine-reg,$9.49,,In Stock,"A safe, proven, topical anesthetic available in several great-tasting flavors in jars and syringe delivery. 20% Benzocaine formula has a quick onset (15-20 seconds) and provides instant short-term pain relief reducing wasted downtime during procedures.
Syringe kit contains 1.2 ml of gel, allowing the clinician to deliver GINGICaine directly into the sulcus to induce anesthesia right where it is needed. The microneedle tip features a 7mm gauge mark and rounded end to eliminate poking or tearing the sulcus during delivery.

20% Benzocaine formula
Quick onset: 15&ndash;20 seconds.
Needleless pain-free delivery
Superior quality, not gritty or runny for easy and direct applications.
Stays in place without numbing unwanted regions
",{},"https://www.safcodental.com/media/catalog/product/a/e/aedac.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Safco SensiCaine Ultra,Safco Dental,AEDAW,Topical Anesthetics,https://www.safcodental.com/product/safco-sensicaine-trade-ultra-topical-anesthetic-gel,$6.99,,In Stock,"20% benzocaine gel features patient-pleasing taste without bitterness, and is water soluble.",{},"https://www.safcodental.com/media/catalog/product/a/e/aedaw.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Hurricaine,Safco Dental,AEDAD,Topical Anesthetics,https://www.safcodental.com/product/hurricaine-reg,$9.99,,In Stock,"20% benzocaine in a water soluble flavored base.
&nbsp;Indicated for fast, temporary relief of occasional minor irritation and pain associated with:

Sore mouth and throat.
Canker sores.
Minor dental procedures.
Minor injury of the mouth and gums.
Minor irritation of the mouth and gums caused by dentures or orthodontic appliances.
",{},"https://www.safcodental.com/media/catalog/product/a/e/aedad.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
CoraCaine,Safco Dental,AEDAB,Topical Anesthetics,https://www.safcodental.com/product/coracaine-reg,$88.49,,In Stock,Cora-Caine is a pain-relieving dental analgesic (16% benzocaine) adhesive ointment for new or intermediate dentures. Acts as a gel-like cushion between denture and tissue to provide relief from tender ridges and sore spots. Cora-Caine is applied directly onto the denture to provide positive retention and enhance stability. No smell or aftertaste. Pink color.,{},"https://www.safcodental.com/media/catalog/product/a/e/aedab.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
American Eagle scalers,Safco Dental,EJCAH,Dental Scalers,https://www.safcodental.com/product/american-eagle-scalers,$57.49,,In Stock,Supragingival interproximal scaling. Made with stronger and longer-lasting Talon Tough Stainless Steel.,{},"https://www.safcodental.com/media/catalog/product/e/j/ejcah.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Relyant scalers,Safco Dental,EJCJG,Dental Scalers,https://www.safcodental.com/product/relyant-scalers,$54.49,,In Stock,"Expertly crafted from the finest stainless steel and made in the USA. Ergonomic, lightweight (16.9g) handle is designed for maximum comfort.
Every Relyant curette or scaler you purchase qualifies for unlimited life-time sharpening from Nordent.&nbsp; Sign up at www.neversharpenagain.com to receive your free reusable Nordent Shipping Kit.",{},"https://www.safcodental.com/media/catalog/product/e/j/ejcjg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Hu-Friedy specialty scalers,Safco Dental,EJCDL,Dental Scalers,https://www.safcodental.com/product/hu-friedy-specialty-scalers,$39.49,,In Stock,Diamond coated file scaler. Easy-grip handle.,{},"https://www.safcodental.com/media/catalog/product/e/j/ejcdl.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Hu-Friedy scalers - single-end,Safco Dental,EJCCZ,Dental Scalers,https://www.safcodental.com/product/hu-friedy-scalers-single-end,$38.99,,In Stock,Anterior sickle scaler. Single-ended handle.,{},"https://www.safcodental.com/media/catalog/product/e/j/ejccz.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Premier scalers,Safco Dental,EJCGA,Dental Scalers,https://www.safcodental.com/product/premier-scalers,$44.99,,In Stock,"
Ergonomic, lightweight,&nbsp;tactile&nbsp;resin handles&nbsp;&ndash;&nbsp;less hand &amp; wrist fatigue&nbsp;
Proprietary&nbsp;heat-treated, cryo-hardened edges stay sharp&nbsp;longer&nbsp;&ndash;&nbsp;helps easily remove calculus
",{},"https://www.safcodental.com/media/catalog/product/e/j/ejcga.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Hu-Friedy scalers - double-end,Safco Dental,EJCCG,Dental Scalers,https://www.safcodental.com/product/hu-friedy-scalers-double-end,$37.79,,In Stock,High quality stainless steel double-ended scalers for everyday use. Balanced and comfortable to reduce fatigue.,{},"https://www.safcodental.com/media/catalog/product/e/j/ejccg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
PDT scalers,Safco Dental,EJCFK,Dental Scalers,https://www.safcodental.com/product/pdt-scalers,$52.49,,In Stock,"
All stainless steel instrument in an ultra-light solid resin handle.
Extended knurling pattern on handle provides maximum control.
Anatomically color-coded to speed up set-ups and pick-ups.

The Montana Jack is also available in pink. For every Pink Montana Jack purchased, Paradise Dental will donate $1 to breast cancer research.",{},"https://www.safcodental.com/media/catalog/product/e/j/ejcfk.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Safco scalers,Safco Dental,EJCLL,Dental Scalers,https://www.safcodental.com/product/safco-scalers,$23.99,,In Stock,"These medical grade stainless steel instruments provide a thin, sharp edge for rapid and effective removal of plaque, calculus and other deposits.
The instrument tips are made of 440A certified high-carbon stainless steel cryogenically hardened to 54&deg; to 56&deg; Rockwell C. Instrument blades are finished to within 2&deg; variance and subjected to 100% inspection.
The wide 9.5mm (3/8"") ergonomic handle provides the durability of stainless steel - but it&rsquo;s as light as a resin handle due to its one-piece hollow design. The knurled fingergrip provides tactile sensitivity, control, and comfort. Made in the USA.",{},"https://www.safcodental.com/media/catalog/product/e/j/ejcll.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
American Eagle XP scalers,Safco Dental,EJCAY,Dental Scalers,https://www.safcodental.com/product/american-eagle-xp-scalers,$81.49,,In Stock,"XP sharpen-free blades. &nbsp;Harder, thinner, and sharper for repeated use without sharpening&hellip;EVER!

Reduced chair time
Greater patient comfort
Increased hygienist productivity
Calculus removal takes less time and force
Less hand strain
",{},"https://www.safcodental.com/media/catalog/product/e/j/ejcay.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
American Eagle universal curettes,Safco Dental,EJDAE,Universal curettes,https://www.safcodental.com/product/american-eagle-universal-curettes,$58.99,,In Stock,Made with stronger and longer-lasting Talon Tough Stainless Steel.,{},"https://www.safcodental.com/media/catalog/product/e/j/ejdae.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Premier universal curettes,Safco Dental,EJDEL,Universal curettes,https://www.safcodental.com/product/premier-universal-curettes,$44.99,,In Stock,"Premier&rsquo;s Big Easy&reg; Ultralite&trade; line of scalers feature ergonomically designed cushion-grip handles for greater control and comfort. PremierAir&trade; curettes are ergonomic, light weight instruments with precision-sharp tips for less hand fatigue during scaling and root planing procedures. The design of the curettes allows one to easily maintain control during instrumentation with less pressure required.",{},"https://www.safcodental.com/media/catalog/product/e/j/ejdel.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
American Eagle XP universal curettes,Safco Dental,EJDAM,Universal curettes,https://www.safcodental.com/product/american-eagle-xp-universal-curettes,$81.49,,In Stock,"XP sharpen-free blades. &nbsp;Harder, thinner, and sharper for repeated use without sharpening&hellip;EVER!

Reduced chair time
Greater patient comfort
Increased hygienist productivity
Calculus removal takes less time and force
Less hand strain
",{},"https://www.safcodental.com/media/catalog/product/e/j/ejdam.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Hu-Friedy universal curettes,Safco Dental,EJDCE,Universal curettes,https://www.safcodental.com/product/hu-friedy-universal-curettes,$48.49,,In Stock,"Universal application. Two cutting edges and a rounded toe. Double-ended, easy-grip handle.",{},"https://www.safcodental.com/media/catalog/product/e/j/ejdce.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
PDT universal curettes,Safco Dental,EJDDF,Universal curettes,https://www.safcodental.com/product/pdt-universal-curettes,$52.49,,In Stock,"
All stainless steel instrument in an ultra-light solid resin handle.
Extended knurling pattern on handle provides maximum control.
Anatomically color-coded to speed up set-ups and pick-ups.

The Montana Jack is also available in pink. For every Pink Montana Jack purchased, Paradise Dental will donate $1 to breast cancer research.",{},"https://www.safcodental.com/media/catalog/product/e/j/ejddf.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Relyant universal curettes,Safco Dental,EJDKB,Universal curettes,https://www.safcodental.com/product/relyant-universal-curettes,$54.49,,In Stock,"Expertly crafted from the finest stainless steel and made in the USA. Ergonomic, lightweight (16.9g) handle is designed for maximum comfort.
Every Relyant curette or scaler you purchase qualifies for unlimited life-time sharpening from Nordent.&nbsp; Sign up at www.neversharpenagain.com to receive your free reusable Nordent Shipping Kit.",{},"https://www.safcodental.com/media/catalog/product/e/j/ejdkb.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Safco universal curettes,Safco Dental,EJDLM,Universal curettes,https://www.safcodental.com/product/safco-universal-curettes,$23.99,,In Stock,"These medical grade stainless steel instruments provide a thin, sharp edge for rapid and effective removal of plaque, calculus and other deposits.The instrument tips are made of 440A certified high-carbon stainless steel cryogenically hardened to 54&deg; to 56&deg; Rockwell C. Instrument blades are finished to within 2&deg; variance and subjected to 100% inspection.The wide 9.5mm (3/8"") ergonomic handle provides the durability of stainless steel - but it&rsquo;s as light as a resin handle due to its one-piece hollow design. The knurled fingergrip provides tactile sensitivity, control, and comfort.",{},"https://www.safcodental.com/media/catalog/product/e/j/ejdlm.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Sani-Cloth&reg; Plus,Safco Dental,DROEW,Disinfecting wipes,https://www.safcodental.com/product/sani-cloth-reg-plus,$10.99,,In Stock,The original hard surface germicidal disinfectant wipes. Quaternary ammonium based; low alcohol (14.85% formulation).,{},"https://www.safcodental.com/media/catalog/product/d/r/droew.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
OPTIM&reg; 1 Wipes,Safco Dental,DRODE,Disinfecting wipes,https://www.safcodental.com/product/opt-em-im-em-sup-reg-sup-1-wipes,$19.49,,In Stock,One minute broad-spectrum contact time. 30-second virucidal contact time is effective against the Novel Coronavirus (COVID-19). Kills TB in 1 minute; Norovirus in 30 seconds. Proven to deliver superior kill performance; consistent contact times are faster which ensures compliance and provides confidence that disinfection has been achieved. Removes organic debris while disinfecting.,{},"https://www.safcodental.com/media/catalog/product/d/r/drode.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Optim OS1,Safco Dental,DRODG,Disinfecting wipes,https://www.safcodental.com/product/optim-os1,$13.99,,In Stock,"One-step, cleaner-disinfectant that removes soil and hard-to-kill organisms from clinical contact surfaces. LAS Active System enhances the powerful cleaning action of its surfactant base with a proprietary formulation that also kills bacteria, viruses, TB bacteria, and emerging pathogens in just 1 minute.

1-minute kill time for hardest-to-kill viruses and bacteria.
Qualifies for EPA’s Emerging Viral Pathogen Claim.
1-step cleaner and disinfectant.
Safe for use on hard, non-porous clinical surfaces.

 ",{},"https://www.safcodental.com/media/catalog/product/d/r/drodg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Safco Kleen-Care&trade; 1 Advanced,Safco Dental,DROCX,Disinfecting wipes,https://www.safcodental.com/product/safco-kleen-care-sup-trade-sup-1-advanced,$9.99,,In Stock,"&lt;p&gt;Part of the Safco KleenLine&amp;trade; series.&lt;/p&gt;
&lt;p&gt;Powerful multipurpose cleaning wipes that offer one-step disinfection and deodorizing in only 1 minute. Ethyl alcohol and quaternary ammonium-based formulation destroys 48 different pathogens, including: TB, human coronavirus, HBV, HIV-1, H1N1, HCV, MRSA, bacteria, viruses and fungi and is guaranteed safe to use on all equipment or instruments without concern.&lt;/p&gt;
&lt;ul&gt;
&lt;li&gt;An effective bactericidal, virucidal, tuberculocidal &amp;amp; fungicidal.&lt;/li&gt;
&lt;li&gt;EPA List N for use on Coronavirus Covid-19.&lt;/li&gt;
&lt;li&gt;Kills H1N1 Influenza A (Swine Flu).&lt;/li&gt;
&lt;li&gt;Evaporates quickly.&lt;/li&gt;
&lt;li&gt;Leaves hard, non-porous surfaces completely disinfected in 1 minute.&lt;/li&gt;
&lt;li&gt;Safe on most plastics.&lt;/li&gt;
&lt;li&gt;Clean scent.&lt;/li&gt;
&lt;/ul&gt;
&lt;p&gt;Safco is restricted (Pending EPA approval) to sell Kleen-Care 1 in PR.&lt;/p&gt;",{},"https://www.safcodental.com/media/catalog/product/k/l/kleen-care_1_advanced.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Clorox&trade; Hydrogen Peroxide Wipes,Safco Dental,DROCB,Disinfecting wipes,https://www.safcodental.com/product/clorox-trade-hydrogen-peroxide-wipes,$13.99,,In Stock,Mild hydrogen peroxide formula provides the fastest non-bleach disinfecting times available on more than 40 microorganisms; 30 seconds to one minute contact time on most bacteria and viruses (kills TB in 5 minutes). No harsh chemical fumes or odors.,{},"https://www.safcodental.com/media/catalog/product/d/r/drocb.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Oxivir&reg; 1 Wipes,Safco Dental,DROCV,Disinfecting wipes,https://www.safcodental.com/product/oxivir-reg-1-wipes,$13.49,,In Stock,"Hydrogen peroxide-based disinfectant wipes kill 81 pathogens including viruses, bacteria, fungi, and TB in 1 minute or less. Cherry almond scented.

Meets OSHA Bloodborne Pathogen Standards for decontaminating blood and body fluid spills.
EPA List N for use on Coronavirus COVID-19.
Broad-spectrum, multi-surface cleaner/disinfectant, and sanitizer.
Alcohol-free formula contains no phosphates, quats, or phenols.
",{},"https://www.safcodental.com/media/catalog/product/d/r/drocv.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Optim&reg; 33TB Wipes,Safco Dental,DRODF,Disinfecting wipes,https://www.safcodental.com/product/optim-reg-33tb-wipes,$17.99,,In Stock,"Mild hydrogen peroxide formula effectively kills a wide range of common bacteria in one minute. 1-minute virucidal contact time is effective against the Novel Coronavirus (COVID-19). Kills TB in 5 minutes. Exceptional cleaning and disinfection without the harsh odor common to other towelettes. Does not leave behind active residue that may lead to the development of resistant strains of microorganisms.
&nbsp;",{},"https://www.safcodental.com/media/catalog/product/d/r/drodf.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Sani-Cloth&reg; AF3,Safco Dental,DRODT,Disinfecting wipes,https://www.safcodental.com/product/sani-cloth-reg-af3,$11.49,,In Stock,"Alcohol-free, fragrance-free disinfectant wipes for use on hard, non-porous surfaces and equipment. Kills TB, Herpes Simplex II and Hepatitis B in 3 minutes and HIV-1 (AIDS) in 30 seconds. Disposable non-woven cloth, pre-saturated with a quaternary disinfectant. Ammonia-free.",{},"https://www.safcodental.com/media/catalog/product/d/r/drodt.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Spec Clean&nbsp;wipes,Safco Dental,DRODJ,Disinfecting wipes,https://www.safcodental.com/product/spec-clean-nbsp-wipes,$12.99,,In Stock,"
Presaturated towelette wipes for hard-surface disinfection. Kills HIV-1, Herpes Simplex I and&nbsp;Herpes Simplex II in 1 minute; kills TB, S. aureus, and MRSA in 3 minutes. Light lemon scent. Phenol based in a non-alcohol formulation.
Click here for&nbsp;Spec Clean Wipes How to Use information
",{},"https://www.safcodental.com/media/catalog/product/d/r/drodj.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Opti-Cide&sup3;&reg; Surface Wipes,Safco Dental,DRODD,Disinfecting wipes,https://www.safcodental.com/product/opti-cide-sup3-reg-surface-wipes,$25.99,,In Stock,"Broad spectrum surface cleaner and disinfectant. 3 minute contact time kills fungus, viruses and bacteria - including TB, gram negative and gram positive bacteria. A thicker, stronger towelette for heavy-duty use in removing soil from surfaces.",{},"https://www.safcodental.com/media/catalog/product/d/r/drodd.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Monarch&reg;&nbsp;Surface Disinfectant Wipes,Safco Dental,DROCZ,Disinfecting wipes,https://www.safcodental.com/product/p-monarch-reg-nbsp-surface-disinfectant-wipes-p,$23.49,,In Stock,"Single step cleaning and disinfecting in just 1 minute. Effective broad- spectrum kill of 25 pathogens, including TB, MRSA, HIV Hepatitis B and C. For use on non-porous surfaces. Unscented.",{},"https://www.safcodental.com/media/catalog/product/d/r/drocz.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Easy Screen&reg;,Safco Dental,DROCJ,Disinfecting wipes,https://www.safcodental.com/product/easy-screen-sup-reg-sup,$10.49,,In Stock,"70% isopropyl alcohol cleaner for touchscreens, whiteboards and equipment. Leaves no residue or streaks and is fast drying.",{},"https://www.safcodental.com/media/catalog/product/d/r/drocj.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Clorox Healthcare&reg; VersaSure&trade;,Safco Dental,DROCC,Disinfecting wipes,https://www.safcodental.com/product/clorox-healthcare-reg-versasure-trade,$9.99,,In Stock,"Ready-to-use quaternary ammonium-based disinfectant wipes clean and disinfect stainless steel, hard plastics and other nonporous surfaces. Kills 44 organisms including TB in 2 minutes or less. EPA-approved for use against SARS-CoV-2, the virus that causes COVID-19. Minimal odor, and alcohol-free.",{},"https://www.safcodental.com/media/catalog/product/d/r/drocc.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
DisCide&reg; Ultra Towelettes,Safco Dental,DROCU,Disinfecting wipes,https://www.safcodental.com/product/discide-reg-ultra-towelettes,$15.49,,In Stock,"Ready-to-use disposable towelettes impregnated with a hospital-level disinfectant that kills TB, viruses (HBV, HCV, RSV, HIV-1), bacteria (MRSA, VRE, E. coli), and fungi (C. albicans) in one minute.


Environmentally safe&nbsp;quaternary ammonium/high level&nbsp;alcohol solution.
Specifically formulated to resist evaporation.
Non-corrosive, non-staining, and leaves no residue.
EPA and FDA registered.
Pleasant herbal scent.

",{},"https://www.safcodental.com/media/catalog/product/d/r/drocu.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Super Sani-Cloth&reg;,Safco Dental,DROFX,Disinfecting wipes,https://www.safcodental.com/product/super-sani-cloth-reg,$11.49,,In Stock,"Extra-strength quaternary ammonium-based hard surface disinfectant wipes with 55% alcohol. Kills TB and HIV-1 (AIDS) in 1 minute, and Hepatitis B and Herpes Simplex II in 2 minutes. Effective against a wide range of gram positive and gram negative bacteria.Thicker material gives you a cloth-like feel, but is pliable to reach into crevices and hard corners. Hexagon-embossed for high absorbency.",{},"https://www.safcodental.com/media/catalog/product/d/r/drofx.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
BeeSure Radiant,Safco Dental,DRFEX,Masks,https://www.safcodental.com/product/beesure-radiant,$15.49,,In Stock,"
Unique 3D design creates a non-collapsible space for maximum beathing room.
Seals around nose, chin and cheek to reduce air leaks.
100% latex-free.
Lint and dye-free inner layer.
40 masks per box.
8 boxes in a case.
",{},"https://www.safcodental.com/media/catalog/product/d/r/drfex.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
SafeMask&reg; Junior Pediatric,Safco Dental,DRFEQ,Masks,https://www.safcodental.com/product/safemask-reg-junior-pediatric,$7.99,,In Stock,"ASTM Level 1 earloop face mask
&nbsp;
Adult-level protection designed exclusively for children. Created specifically for small faces. Blue color.

Designed for kids ages 4-12.
Smooth, stretchy, ultrasonically sealed earloops.
Soft, non-woven material.
",{},"https://www.safcodental.com/media/catalog/product/d/r/drfeq.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Secure Fit&reg; Ultra,Safco Dental,DRFEN,Masks,https://www.safcodental.com/product/secure-fit-reg-ultra,$23.29,,In Stock,"ASTM Level 3 earloop face mask.
Patented design features dual nose and chin strips for a customized fit. Ideal for procedures where heavy to moderate amounts of fluid, spray or aerosols are produced. Made with a fluid-resistant outer and inner layer.
50 masks per box; 10 boxes in a case.",{},"https://www.safcodental.com/media/catalog/product/d/r/drfen.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
SafeBasics Level 2,Safco Dental,DRFFC,Masks,https://www.safcodental.com/product/safebasics-level-2,$5.99,,In Stock,"ASTM Level&nbsp;2 earloop face mask.&nbsp;
SafeBasics&reg; procedure earloop face masks provide the protection you expect from Medicom at a surprisingly low price. Ultrasonically sealed, soft, stretchy, latex-free earloops and an adjustable nosepiece ensure a comfortable, customized fit.

Mask Body Outer: Material Spunbond Polypropylene (SBPP).
Filter Layer Melt Blown Polypropylene (MBPP)
Inner Material Spunbond Polypropylene (SBPP)
Nose-piece: Plastic Covered Iron
Ear Loop: Polyester and Spandex
Description: Shingle pleats rectangular face masks with a shapeable nosepiece and two earloops present, one on each side, in order to hold mask in place.&nbsp;
Earloop Style : Flat Knitted earloo
Dimension Body Size Length 175 mm (6 ??????&rdquo;) Width 90,5 mm (3 &frac12;&rdquo;) Length of Earloop Regular 165 mm (6 &frac12;&rdquo;) Pleat Depth 14 mm (5/8&rdquo;) Length of Nose-piece 105 mm (4 1/8&rdquo;)
Packaging Detail: 50/box
",{},"https://www.safcodental.com/media/catalog/product/d/r/drffc.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
SafeMask&reg; SofSkin Fit,Safco Dental,DRFFD,Masks,https://www.safcodental.com/product/safemask-sup-reg-sup-sofskin-fit,$19.49,,In Stock,"ASTM Level 3 earloop face mask
Designed with sensitive skin in mind, their ultra-soft, lightweight, breathable inner layer is gentle and remains cool on skin. Unique wicking technology keeps the face dry and comfortable all procedure long. Not made from natural rubber latex.
Adjustable chin and nose piece to form a seal around the face to reduce gaping.
50 masks per box, 10 boxes per case.",{},"https://www.safcodental.com/media/catalog/product/d/r/drffd.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
